"Gene_Pair","Group","Pearson_r","P_value","Sample_size","Target_Gene"
"MMP2","Cancer",0.62,"<0.001",549,"Cancer"
"MMP2","Normal",0.62,"<0.001",549,"Cancer"
"MMP9","Cancer",0.19,"<0.001",549,"Cancer"
"MMP9","Normal",0.19,"<0.001",549,"Cancer"
"SNAI1","Cancer",0.6,"<0.001",549,"Cancer"
"SNAI1","Normal",0.6,"<0.001",549,"Cancer"
"TWIST1","Cancer",-0.25,"<0.001",549,"Cancer"
"TWIST1","Normal",-0.25,"<0.001",549,"Cancer"
"MAPK3","Cancer",0.41,"<0.001",549,"Cancer"
"MAPK3","Normal",0.41,"<0.001",549,"Cancer"
"MAPK1","Cancer",0.02,"0.688",549,"Cancer"
"MAPK1","Normal",0.02,"0.688",549,"Cancer"
