"sample_id","SERPINB1_Beta","Gene","Expression"
"TCGA-2A-A8VL-01",0.53003,"MMP9",3.6239
"TCGA-2A-A8VL-01",0.53003,"MMP2",10.1717
"TCGA-2A-A8VL-01",0.53003,"MAPK3",9.8542
"TCGA-2A-A8VL-01",0.53003,"MAPK1",11.4944
"TCGA-2A-A8VL-01",0.53003,"TWIST1",7.522
"TCGA-2A-A8VL-01",0.53003,"SNAI1",5.3813
"TCGA-2A-A8VO-01",0.75747,"MMP9",8.4288
"TCGA-2A-A8VO-01",0.75747,"MMP2",10.6724
"TCGA-2A-A8VO-01",0.75747,"MAPK3",9.9847
"TCGA-2A-A8VO-01",0.75747,"MAPK1",11.2579
"TCGA-2A-A8VO-01",0.75747,"TWIST1",5.0107
"TCGA-2A-A8VO-01",0.75747,"SNAI1",4.9806
"TCGA-2A-A8VT-01",0.62767,"MMP9",7.2559
"TCGA-2A-A8VT-01",0.62767,"MMP2",9.6303
"TCGA-2A-A8VT-01",0.62767,"MAPK3",10.5719
"TCGA-2A-A8VT-01",0.62767,"MAPK1",11.2881
"TCGA-2A-A8VT-01",0.62767,"TWIST1",7.3466
"TCGA-2A-A8VT-01",0.62767,"SNAI1",3.6741
"TCGA-2A-A8VV-01",0.76318,"MMP9",5.6559
"TCGA-2A-A8VV-01",0.76318,"MMP2",10.3078
"TCGA-2A-A8VV-01",0.76318,"MAPK3",9.9117
"TCGA-2A-A8VV-01",0.76318,"MAPK1",11.3793
"TCGA-2A-A8VV-01",0.76318,"TWIST1",8.0397
"TCGA-2A-A8VV-01",0.76318,"SNAI1",3.7769
"TCGA-2A-A8VX-01",0.83237,"MMP9",2.0083
"TCGA-2A-A8VX-01",0.83237,"MMP2",10.0382
"TCGA-2A-A8VX-01",0.83237,"MAPK3",9.9886
"TCGA-2A-A8VX-01",0.83237,"MAPK1",11.1432
"TCGA-2A-A8VX-01",0.83237,"TWIST1",9.2837
"TCGA-2A-A8VX-01",0.83237,"SNAI1",3.7651
"TCGA-2A-A8W1-01",0.76289,"MMP9",6.5404
"TCGA-2A-A8W1-01",0.76289,"MMP2",6.9949
"TCGA-2A-A8W1-01",0.76289,"MAPK3",9.6455
"TCGA-2A-A8W1-01",0.76289,"MAPK1",11.4869
"TCGA-2A-A8W1-01",0.76289,"TWIST1",8.826
"TCGA-2A-A8W1-01",0.76289,"SNAI1",4.5356
"TCGA-2A-A8W3-01",0.55225,"MMP9",6.897
"TCGA-2A-A8W3-01",0.55225,"MMP2",10.011
"TCGA-2A-A8W3-01",0.55225,"MAPK3",10.2733
"TCGA-2A-A8W3-01",0.55225,"MAPK1",11.6815
"TCGA-2A-A8W3-01",0.55225,"TWIST1",8.3813
"TCGA-2A-A8W3-01",0.55225,"SNAI1",5.0035
"TCGA-2A-AAYF-01",0.69846,"MMP9",7.6071
"TCGA-2A-AAYF-01",0.69846,"MMP2",10.367
"TCGA-2A-AAYF-01",0.69846,"MAPK3",10.1172
"TCGA-2A-AAYF-01",0.69846,"MAPK1",11.5319
"TCGA-2A-AAYF-01",0.69846,"TWIST1",7.6716
"TCGA-2A-AAYF-01",0.69846,"SNAI1",4.528
"TCGA-2A-AAYO-01",0.62753,"MMP9",9.805
"TCGA-2A-AAYO-01",0.62753,"MMP2",11.1182
"TCGA-2A-AAYO-01",0.62753,"MAPK3",10.0727
"TCGA-2A-AAYO-01",0.62753,"MAPK1",11.477
"TCGA-2A-AAYO-01",0.62753,"TWIST1",8.3608
"TCGA-2A-AAYO-01",0.62753,"SNAI1",5.3149
"TCGA-2A-AAYU-01",0.5746,"MMP9",7.6401
"TCGA-2A-AAYU-01",0.5746,"MMP2",10.2061
"TCGA-2A-AAYU-01",0.5746,"MAPK3",9.5072
"TCGA-2A-AAYU-01",0.5746,"MAPK1",11.5798
"TCGA-2A-AAYU-01",0.5746,"TWIST1",6.7099
"TCGA-2A-AAYU-01",0.5746,"SNAI1",4.442
"TCGA-4L-AA1F-01",0.42879,"MMP9",12.4285
"TCGA-4L-AA1F-01",0.42879,"MMP2",14.4809
"TCGA-4L-AA1F-01",0.42879,"MAPK3",10.1143
"TCGA-4L-AA1F-01",0.42879,"MAPK1",11.5133
"TCGA-4L-AA1F-01",0.42879,"TWIST1",8.615
"TCGA-4L-AA1F-01",0.42879,"SNAI1",8.0602
"TCGA-CH-5737-01",0.77166,"MMP9",8.3086
"TCGA-CH-5737-01",0.77166,"MMP2",8.883
"TCGA-CH-5737-01",0.77166,"MAPK3",9.7006
"TCGA-CH-5737-01",0.77166,"MAPK1",11.6847
"TCGA-CH-5737-01",0.77166,"TWIST1",6.8201
"TCGA-CH-5737-01",0.77166,"SNAI1",5.7228
"TCGA-CH-5738-01",0.542,"MMP9",9.7206
"TCGA-CH-5738-01",0.542,"MMP2",12.1382
"TCGA-CH-5738-01",0.542,"MAPK3",9.9041
"TCGA-CH-5738-01",0.542,"MAPK1",11.6069
"TCGA-CH-5738-01",0.542,"TWIST1",7.0514
"TCGA-CH-5738-01",0.542,"SNAI1",8.0495
"TCGA-CH-5739-01",0.67387,"MMP9",5.7512
"TCGA-CH-5739-01",0.67387,"MMP2",11.6605
"TCGA-CH-5739-01",0.67387,"MAPK3",9.7208
"TCGA-CH-5739-01",0.67387,"MAPK1",11.8574
"TCGA-CH-5739-01",0.67387,"TWIST1",7.3396
"TCGA-CH-5739-01",0.67387,"SNAI1",5.708
"TCGA-CH-5740-01",0.65421,"MMP9",6.848
"TCGA-CH-5740-01",0.65421,"MMP2",10.4908
"TCGA-CH-5740-01",0.65421,"MAPK3",9.9608
"TCGA-CH-5740-01",0.65421,"MAPK1",11.5285
"TCGA-CH-5740-01",0.65421,"TWIST1",7.8798
"TCGA-CH-5740-01",0.65421,"SNAI1",4.53
"TCGA-CH-5741-01",0.74091,"MMP9",6.0594
"TCGA-CH-5741-01",0.74091,"MMP2",9.039
"TCGA-CH-5741-01",0.74091,"MAPK3",9.6384
"TCGA-CH-5741-01",0.74091,"MAPK1",11.1514
"TCGA-CH-5741-01",0.74091,"TWIST1",8.6169
"TCGA-CH-5741-01",0.74091,"SNAI1",3.7352
"TCGA-CH-5743-01",0.15731,"MMP9",8.0427
"TCGA-CH-5743-01",0.15731,"MMP2",10.7473
"TCGA-CH-5743-01",0.15731,"MAPK3",10.4262
"TCGA-CH-5743-01",0.15731,"MAPK1",11.4256
"TCGA-CH-5743-01",0.15731,"TWIST1",5.6542
"TCGA-CH-5743-01",0.15731,"SNAI1",6.5786
"TCGA-CH-5744-01",0.57911,"MMP9",8.3292
"TCGA-CH-5744-01",0.57911,"MMP2",9.4894
"TCGA-CH-5744-01",0.57911,"MAPK3",9.823
