"sample_id","SERPINB1_Beta"
"TCGA-2A-A8VL-01",0.53003
"TCGA-2A-A8VO-01",0.75747
"TCGA-2A-A8VT-01",0.62767
"TCGA-2A-A8VV-01",0.76318
"TCGA-2A-A8VX-01",0.83237
"TCGA-2A-A8W1-01",0.76289
"TCGA-2A-A8W3-01",0.55225
"TCGA-2A-AAYF-01",0.69846
"TCGA-2A-AAYO-01",0.62753
"TCGA-2A-AAYU-01",0.5746
"TCGA-4L-AA1F-01",0.42879
"TCGA-CH-5737-01",0.77166
"TCGA-CH-5738-01",0.542
"TCGA-CH-5739-01",0.67387
"TCGA-CH-5740-01",0.65421
"TCGA-CH-5741-01",0.74091
"TCGA-CH-5743-01",0.15731
"TCGA-CH-5744-01",0.57911
"TCGA-CH-5745-01",0.59575
"TCGA-CH-5746-01",0.46563
"TCGA-CH-5748-01",0.58539
"TCGA-CH-5750-01",0.65636
"TCGA-CH-5751-01",0.48982
"TCGA-CH-5752-01",0.69555
"TCGA-CH-5753-01",0.71636
"TCGA-CH-5754-01",0.50158
"TCGA-CH-5761-01",0.6195
"TCGA-CH-5762-01",0.51297
"TCGA-CH-5763-01",0.29129
"TCGA-CH-5764-01",0.58464
"TCGA-CH-5765-01",0.69031
"TCGA-CH-5766-01",0.53758
"TCGA-CH-5767-01",0.7598
"TCGA-CH-5768-01",0.68308
"TCGA-CH-5769-01",0.588
"TCGA-CH-5771-01",0.44361
"TCGA-CH-5772-01",0.66154
"TCGA-CH-5788-01",0.75824
"TCGA-CH-5789-01",0.26311
"TCGA-CH-5790-01",0.72167
"TCGA-CH-5791-01",0.64937
"TCGA-CH-5792-01",0.53073
"TCGA-CH-5794-01",0.62973
"TCGA-EJ-5494-01",0.66311
"TCGA-EJ-5495-01",0.48425
"TCGA-EJ-5496-01",0.58414
"TCGA-EJ-5497-01",0.54776
"TCGA-EJ-5498-01",0.32099
"TCGA-EJ-5499-01",0.5113
"TCGA-EJ-5501-01",0.50166
"TCGA-EJ-5502-01",0.50352
"TCGA-EJ-5503-01",0.24405
"TCGA-EJ-5504-01",0.59436
"TCGA-EJ-5505-01",0.54868
"TCGA-EJ-5506-01",0.363
"TCGA-EJ-5507-01",0.59312
"TCGA-EJ-5508-01",0.51929
"TCGA-EJ-5509-01",0.54996
"TCGA-EJ-5510-01",0.45882
"TCGA-EJ-5511-01",0.68766
"TCGA-EJ-5512-01",0.48874
"TCGA-EJ-5514-01",0.53093
"TCGA-EJ-5515-01",0.31433
"TCGA-EJ-5516-01",0.45423
"TCGA-EJ-5517-01",0.48085
"TCGA-EJ-5518-01",0.53427
"TCGA-EJ-5519-01",0.65521
"TCGA-EJ-5521-01",0.58004
"TCGA-EJ-5522-01",0.44259
"TCGA-EJ-5524-01",0.51178
"TCGA-EJ-5525-01",0.74806
"TCGA-EJ-5526-01",0.57
