"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-XJ-A83F-01",9.1828,10.5476,9.7217,10.9075,8.3365,5.3117
"TCGA-G9-6348-01",5.9579,11.3641,10.237,11.5598,7.6725,7.5497
"TCGA-CH-5766-01",7.8272,10.4912,9.8555,11.7268,7.1053,5.5196
"TCGA-EJ-A65G-01",6.1744,10.0428,9.6423,11.415,4.2876,4.5238
"TCGA-G9-6354-01",8.6285,9.5167,10.0178,10.9869,8.119,4.1751
"TCGA-EJ-5527-01",7.6876,11.5477,9.8845,11.716,6.9704,5.4713
"TCGA-HC-8213-01",7.9023,8.716,9.2709,11.7028,7.4783,1.7976
"TCGA-Y6-A9XI-01",7.3115,9.6404,9.9987,11.7742,5.9831,4.645
"TCGA-CH-5744-01",8.3292,9.4894,9.823,11.4009,7.6222,6.7522
"TCGA-HC-A9TE-01",9.2088,11.75,10.4123,11.2134,5.5824,6.182
"TCGA-EJ-A7NJ-01",8.1746,10.3886,9.7817,11.4981,3.3575,4.3148
"TCGA-SU-A7E7-01",6.8804,10.8966,10.085,11.5072,8.077,5.7216
"TCGA-CH-5772-01",5.816,9.6864,9.9729,11.6188,8.0882,5.0277
"TCGA-HI-7168-01",5.5719,12.0593,10.5925,11.6969,10.6364,7.7072
"TCGA-ZG-A9L0-01",9.3402,11.6282,10.0379,11.4206,8.4968,6.6427
"TCGA-HC-7075-01",8.9184,10.2945,9.9031,11.7435,5.7538,3.3633
"TCGA-V1-A9Z8-01",6.6199,11.9218,10.5695,11.4184,7.0132,5.4504
"TCGA-KK-A7AW-01",9.4069,9.7913,10.3679,9.3197,8.9034,4.3861
"TCGA-H9-A6BX-01",10.7204,11.9943,10.3119,11.5353,5.4962,5.0413
"TCGA-YL-A9WY-01",10.37,12.0413,10.2675,11.6281,9.1872,5.6492
"TCGA-EJ-8469-01",8.1824,9.929,9.9478,11.6056,7.4554,4.3995
"TCGA-G9-6361-01",6.3374,11.468,9.8431,11.3466,7.9933,6.4215
"TCGA-HI-7171-01",8.0473,10.5861,8.7223,10.8142,7.7558,3.8484
"TCGA-ZG-A8QY-01",3.6776,11.4768,10.5308,11.5367,7.458,6.1654
"TCGA-J9-A8CM-01",10.0398,11.8404,9.6351,11.1912,7.1115,5.2814
"TCGA-J9-A52C-01",9.9597,12.2472,10.2346,11.1375,7.2915,7.2794
"TCGA-EJ-A65D-01",5.898,8.7166,9.3737,10.3942,8.6889,3.4755
"TCGA-G9-6336-01",6.9534,10.4727,10.1751,11.4363,7.0936,5.3384
"TCGA-J4-A67K-01",7.398,10.6235,10.3625,10.5527,8.0266,4.7293
"TCGA-2A-A8W1-01",6.5404,6.9949,9.6455,11.4869,8.826,4.5356
"TCGA-HC-7819-01",7.35,9.4576,9.4297,11.7158,7.7721,5.016
"TCGA-VN-A88N-01",5.0746,9.3543,9.9442,11.5804,4.2095,5.7038
"TCGA-VP-A87J-01",6.973,10.1191,9.456,10.9204,9.6633,3.8175
