"Gene","sample_id","Expression"
"MMP9","TCGA-XJ-A83F-01",9.1828
"MMP9","TCGA-G9-6348-01",5.9579
"MMP9","TCGA-CH-5766-01",7.8272
"MMP9","TCGA-EJ-A65G-01",6.1744
"MMP9","TCGA-G9-6354-01",8.6285
"MMP9","TCGA-EJ-5527-01",7.6876
"MMP9","TCGA-HC-8213-01",7.9023
"MMP9","TCGA-Y6-A9XI-01",7.3115
"MMP9","TCGA-EJ-7125-11",4.8561
"MMP9","TCGA-CH-5744-01",8.3292
"MMP9","TCGA-EJ-7782-11",8.7872
"MMP9","TCGA-HC-A9TE-01",9.2088
"MMP9","TCGA-EJ-A7NJ-01",8.1746
"MMP9","TCGA-SU-A7E7-01",6.8804
"MMP9","TCGA-CH-5772-01",5.816
"MMP9","TCGA-HI-7168-01",5.5719
"MMP9","TCGA-ZG-A9L0-01",9.3402
"MMP9","TCGA-HC-7075-01",8.9184
"MMP9","TCGA-V1-A9Z8-01",6.6199
"MMP9","TCGA-KK-A7AW-01",9.4069
"MMP9","TCGA-H9-A6BX-01",10.7204
"MMP9","TCGA-YL-A9WY-01",10.37
"MMP9","TCGA-EJ-8469-01",8.1824
"MMP9","TCGA-G9-6361-01",6.3374
"MMP9","TCGA-HI-7171-01",8.0473
"MMP9","TCGA-ZG-A8QY-01",3.6776
"MMP9","TCGA-J9-A8CM-01",10.0398
"MMP9","TCGA-HC-8258-11",2.7212
"MMP9","TCGA-EJ-7328-11",6.3252
"MMP9","TCGA-J9-A52C-01",9.9597
"MMP9","TCGA-EJ-A65D-01",5.898
"MMP9","TCGA-G9-6336-01",6.9534
"MMP9","TCGA-V1-A9O5-06",8.3949
"MMP9","TCGA-J4-A67K-01",7.398
"MMP9","TCGA-HC-8260-11",1.3651
"MMP9","TCGA-2A-A8W1-01",6.5404
"MMP9","TCGA-HC-7819-01",7.35
"MMP9","TCGA-VN-A88N-01",5.0746
"MMP9","TCGA-VP-A87J-01",6.973
"MMP9","TCGA-2A-A8VL-01",3.6239
"MMP9","TCGA-EJ-A46D-01",4.3794
"MMP9","TCGA-HC-7821-01",7.1376
"MMP9","TCGA-HC-A8CY-01",8.9682
"MMP9","TCGA-EJ-7315-01",8.7459
"MMP9","TCGA-FC-A5OB-01",2.1029
"MMP9","TCGA-V1-A9ZI-01",9.0105
"MMP9","TCGA-FC-A66V-01",8.6794
"MMP9","TCGA-ZG-A9LS-01",8.345
"MMP9","TCGA-J9-A52E-01",10.1499
"MMP9","TCGA-G9-6362-01",5.0178
"MMP9","TCGA-KK-A59X-01",7.228
"MMP9","TCGA-EJ-7781-11",8.5299
"MMP9","TCGA-M7-A723-01",7.4237
"MMP9","TCGA-HC-A6AL-01",10.0281
"MMP9","TCGA-G9-6333-11",4.3219
"MMP9","TCGA-EJ-A8FN-01",9.6544
"MMP9","TCGA-XK-AAJA-01",8.043
"MMP9","TCGA-EJ-5531-01",11.1856
"MMP9","TCGA-EJ-A6RC-01",9.0647
"MMP9","TCGA-2A-A8W3-01",6.897
"MMP9","TCGA-EJ-A46B-01",6.402
"MMP9","TCGA-KK-A8IK-01",3.5342
"MMP9","TCGA-XK-AAIR-01",8.858
"MMP9","TCGA-J9-A8CK-01",6.2712
"MMP9","TCGA-EJ-8470-01",10.3408
"MMP9","TCGA-KK-A7B4-01",7.3493
"MMP9","TCGA-EJ-5499-01",6.3751
"MMP9","TCGA-KK-A7AP-01",6.6155
"MMP9","TCGA-EJ-7330-11",8.7013
"MMP9","TCGA-CH-5764-01",7.8201
"MMP9","TCGA-EJ-7789-01",5.145
"MMP9","TCGA-EJ-7789-11",7.1606
"MMP9","TCGA-J4-AAU2-01",6.8135
"MMP9","TCGA-XQ-A8TB-01",6.2394
"MMP9","TCGA-VP-A87E-01",8.7354
"MMP9","TCGA-EJ-7793-01",6.9997
"MMP9","TCGA-YL-A9WI-01",6.5312
"MMP9","TCGA-EJ-7321-01",7.8449
"MMP9","TCGA-KK-A8I7-01",6.6847
"MMP9","TCGA-ZG-A9L4-01",4.4735
"MMP9","TCGA-CH-5789-01",4.9703
"MMP9","TCGA-EJ-7785-11",4.3699
