"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KRT5",0,12.3916747032373,0.182,0,0
"SCGB3A1",0,11.8978566029681,0.373,0,0
"LTF",0,10.8800265362447,0.22,0.001,0
"KRT15",0,10.8732221037897,0.497,0.002,0
"KRT13",0,4.98719620054643,0.186,0.01,0
"KRT14",0,4.5906925357234,0.142,0.007,0
"CYP4B1",0,4.58525547648746,0.148,0.006,0
"SCGB1A1",0,4.54995413863147,0.171,0.011,0
"OLFM4",0,4.52516268402853,0.177,0.012,0
"MUC4",0,4.44494683705676,0.104,0.006,0
"GPR87",0,4.17958080050228,0.114,0.006,0
"GABRP",0,4.00993936137287,0.166,0.01,0
"TRIM29",0,3.69324078231368,0.207,0.022,0
"DEFB1",0,3.51531216727512,0.291,0.039,0
"PIGR",0,3.51299809048854,0.165,0.019,0
"PI3",4.26162272714749e-282,3.4857012686226,0.111,0.011,1.12979880119407e-277
"FAM3D",0,3.4459751505007,0.137,0.016,0
"ITGB6",0,3.41570438765739,0.183,0.018,0
"LCN2",0,3.39426657942444,0.156,0.013,0
"CP",0,3.3641720914604,0.201,0.021,0
"ADGRF1",2.64149309654465e-300,3.36223725630697,0.11,0.01,7.00286234824951e-296
"SPTSSB",0,3.34297700707788,0.184,0.02,0
"SLC14A1",0,3.32561276779161,0.273,0.037,0
"PDZK1IP1",0,3.32501179452421,0.22,0.022,0
"LINC01133",0,3.2953594197858,0.162,0.016,0
"ANXA3",0,3.28681354086658,0.152,0.015,0
"S100A14",0,3.28485747492973,0.332,0.046,0
"CXCL6",0,3.18566096284517,0.136,0.016,0
"MUC3A",0,3.14662401369207,0.172,0.019,0
"CXCL17",0,3.14096967700688,0.191,0.03,0
"FGFR2",1.37027753161115e-199,3.10997059958175,0.103,0.017,3.63274276405432e-195
"KRT7",0,3.0759761584426,0.375,0.069,0
"KRT17",0,3.06959844044054,0.355,0.077,0
"MPPED2",0,2.96382797253291,0.163,0.022,0
"SQRDL",0,2.94110959454002,0.147,0.018,0
"SLPI",0,2.89182061964508,0.492,0.102,0
"PTRF",0,2.88942963430578,0.231,0.031,0
"KRT23",0,2.88797142902603,0.275,0.041,0
"LAMB3",0,2.87128258641608,0.194,0.028,0
"NTN4",0,2.85756105867396,0.28,0.04,0
"SPG20",2.32402363276901e-276,2.84475215865202,0.123,0.016,6.16121905283391e-272
"MPZL2",0,2.83741417348965,0.382,0.067,0
"FAM46A",1.38134676854106e-246,2.8139151079082,0.112,0.015,3.66208841807921e-242
"RP11-44F21.5",3.67381757536342e-268,2.77976728558821,0.141,0.023,9.73965777404597e-264
"EDN1",0,2.7793953469421,0.193,0.032,0
"C1orf106",9.13251078603381e-258,2.72501357151513,0.132,0.021,2.42111993448542e-253
"C10orf54",0,2.70591075425749,0.175,0.024,0
"EPHA2",0,2.67057740519671,0.231,0.045,0
"FLRT3",3.66403821496354e-196,2.66072322835959,0.131,0.029,9.71373171168984e-192
"VSIG2",0,2.63396896996096,0.21,0.041,0
"MMP7",0,2.62356327740762,0.458,0.124,0
"CYP3A5",6.04402425033791e-223,2.61545319060597,0.132,0.025,1.60233126900708e-218
"CDH3",3.00139921015104e-183,2.57711884275914,0.111,0.022,7.95700944603142e-179
"EFNA5",1.1434412094923e-229,2.56811594808097,0.141,0.028,3.03137699048505e-225
"PVRL4",4.04093446973753e-223,2.55244206649068,0.126,0.023,1.07129213727212e-218
"S100A2",2.8585927511299e-278,2.54266811065839,0.256,0.081,7.57841524252047e-274
"GABRE",2.50778316686612e-291,2.52801019462896,0.142,0.021,6.64838395367877e-287
"CLDN1",0,2.52665985158064,0.169,0.026,0
"WFDC2",0,2.50173269529258,0.487,0.139,0
"LIPH",1.13300417278479e-287,2.45001512041006,0.197,0.046,3.00370736246976e-283
"UPK1A",2.80151769938485e-225,2.44835446236871,0.139,0.027,7.42710357283916e-221
"DKK1",3.7627317107344e-170,2.40659574914846,0.156,0.046,9.97537803832798e-166
"CTD-3252C9.4",0,2.40407255962263,0.316,0.068,0
"PRKCDBP",1.11921598992975e-221,2.39728708383947,0.12,0.02,2.96715351090276e-217
"MECOM",0,2.39579766419077,0.155,0.023,0
