"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","GO:0001667","ameboidal-type cell migration","63/842","497/18870",6.42552818753293e-14,3.29565340738564e-10,2.52827624894717e-10,"ANXA3/EDN1/EPHA2/S100A2/S100P/ITGA2/MET/CEACAM1/TACSTD2/ITGB4/FERMT1/AMOTL2/GATA3/GPX1/MCC/SDC4/SEMA3C/SEMA4B/MARVELD3/SOX9/RIN2/CLN3/DOCK5/DAB2IP/SNAI2/PDLIM1/TPBG/STC1/AQP1/ROBO1/TGFBR2/ADAM9/PLK2/KLF4/CTSH/KANK1/EPHB4/SEMA3F/GJA1/TGFB2/LRP5/PXN/HBEGF/S100A9/PLPP3/CD40/EFNA1/RGCC/ITGA3/EFNB1/RREB1/ZC3H12A/SEMA4A/DOCK1/LAMA5/PIK3CB/EFNB2/SP100/PTGS2/SP1/ID1/LGALS8/BMPR2",63
"GO:0090132","GO:0090132","epithelium migration","51/842","375/18870",1.16492334757422e-12,2.98744592485408e-09,2.29183340696443e-09,"ANXA3/EDN1/EPHA2/S100A2/S100P/ITGA2/MET/CEACAM1/TACSTD2/FERMT1/GATA3/GPX1/MCC/MARVELD3/SOX9/RIN2/CLN3/DOCK5/DAB2IP/SNAI2/STC1/ROBO1/TGFBR2/ADAM9/PLK2/KLF4/CTSH/KANK1/EPHB4/TGFB2/PXN/HBEGF/S100A9/PLPP3/CD40/EFNA1/RGCC/ITGA3/RREB1/ZC3H12A/SEMA4A/GRHL2/DOCK1/PIK3CB/EFNB2/SP100/PTGS2/SP1/ID1/LGALS8/BMPR2",51
"GO:0090130","GO:0090130","tissue migration","51/842","380/18870",1.94392465990014e-12,3.3234631935426e-09,2.54961065919534e-09,"ANXA3/EDN1/EPHA2/S100A2/S100P/ITGA2/MET/CEACAM1/TACSTD2/FERMT1/GATA3/GPX1/MCC/MARVELD3/SOX9/RIN2/CLN3/DOCK5/DAB2IP/SNAI2/STC1/ROBO1/TGFBR2/ADAM9/PLK2/KLF4/CTSH/KANK1/EPHB4/TGFB2/PXN/HBEGF/S100A9/PLPP3/CD40/EFNA1/RGCC/ITGA3/RREB1/ZC3H12A/SEMA4A/GRHL2/DOCK1/PIK3CB/EFNB2/SP100/PTGS2/SP1/ID1/LGALS8/BMPR2",51
"GO:0010631","GO:0010631","epithelial cell migration","50/842","372/18870",3.0459127278508e-12,3.90562159528668e-09,2.99621625702797e-09,"ANXA3/EDN1/EPHA2/S100A2/S100P/ITGA2/MET/CEACAM1/TACSTD2/FERMT1/GATA3/GPX1/MCC/MARVELD3/SOX9/RIN2/CLN3/DOCK5/DAB2IP/SNAI2/STC1/ROBO1/TGFBR2/ADAM9/PLK2/KLF4/CTSH/KANK1/EPHB4/TGFB2/PXN/HBEGF/S100A9/PLPP3/CD40/EFNA1/RGCC/ITGA3/RREB1/ZC3H12A/SEMA4A/DOCK1/PIK3CB/EFNB2/SP100/PTGS2/SP1/ID1/LGALS8/BMPR2",50
"GO:0008544","GO:0008544","epidermis development","50/842","385/18870",1.10243004085983e-11,1.13087273591401e-08,8.67554419522957e-09,"KRT5/KRT15/KRT14/FGFR2/KRT7/KRT17/LAMB3/EPHA2/CDH3/CLDN1/DKK1/LAMC2/MET/PPL/CSTA/FERMT1/SFN/EGFR/AQP3/EXPH5/IRF6/YAP1/CRABP2/IFT172/SOX9/LGR4/EMP1/SULT2B1/ZFP36L1/ADAM9/CNFN/KLF4/LDB2/INSR/TGFB2/SLC44A4/GRHL1/CLDN4/ERRFI1/FLNB/PPARA/FZD6/TRIOBP/GRHL2/LAMA5/MAFF/HES1/HLA-DRB1/UGCG/LATS2",50
"GO:0043588","GO:0043588","skin development","44/842","317/18870",2.13990382917519e-11,1.82926112330659e-08,1.40332640586962e-08,"KRT5/KRT14/ITGB6/FGFR2/KRT7/KRT17/EPHA2/CDH3/CLDN1/DKK1/ITGA2/MET/PPL/ITGB4/CSTA/FERMT1/SFN/EGFR/ITGA6/AQP3/EXPH5/IRF6/YAP1/DHCR24/SOX9/SLC2A10/LGR4/ZFP36L1/ADAM9/CNFN/KLF4/LDB2/TGFB2/GRHL1/CLDN4/ERRFI1/ITGA3/FLNB/FZD6/GRHL2/LAMA5/UGCG/LATS2/ARRDC3",44
"GO:0042060","GO:0042060","wound healing","52/842","423/18870",3.40189051131479e-11,2.49261377607622e-08,1.91222056109695e-08,"ITGB6/EDN1/CLDN1/ITGA2/CEACAM1/PPL/HBB/FERMT1/CX3CL1/ERBB3/GPX1/ERBB2/SDC4/YAP1/MYOF/SMAD3/OCLN/PLAU/CD34/ANXA2/AQP1/NOTCH2/IL6ST/KANK1/RAP2B/TGFB2/PLAT/ELK3/F11R/DDR1/VWF/HBEGF/PLPP3/CD40/CLDN4/SLC12A2/B4GALT1/RREB1/PRKCD/PPARA/PLSCR1/CD9/TNFRSF12A/FZD6/GAS6/THBD/F3/PIK3CB/CD59/CASP7/DST/RHOC",52
"GO:0050673","GO:0050673","epithelial cell proliferation","56/842","480/18870",4.6543074070495e-11,2.98399283634461e-08,2.28918435362513e-08,"FGFR2/EPHA2/CDH3/CLDN1/CEACAM1/TACSTD2/FERMT1/SFN/EGFR/GATA3/PTPRK/GPX1/MCC/ERBB2/IGFBP3/IRF6/YAP1/IFT172/MARVELD3/SOX9/CCND1/DAB2IP/SMAD3/SNAI2/LGR4/CD34/CAV2/NFIB/FLT1/ROBO1/ZFP36L1/NOTCH2/TCF7L2/CCL2/RUNX2/TGFB2/SERPINB1/STAT6/TGFBR3/RGCC/B4GALT1/RREB1/CDK6/SFRP1/LAMA5/F3/PIK3CB/EFNB2/HES1/CDKN1C/BMPR1A/MYC/POLD4/AGGF1/SP1/BMPR2",56
"GO:0034329","GO:0034329","cell junction assembly","53/842","446/18870",7.87921974705642e-11,4.49027978696137e-08,3.44473958064291e-08,"ADGRF1/EPHA2/FLRT3/CDH3/EFNA5/CLDN1/DKK1/ITGA2/ITGB4/ACHE/PTPRK/PARD6B/ITGA6/SDC4/CLDN5/MARVELD3/STON1/PTPRS/LIMCH1/CDH1/SMAD3/OCLN/SNAI2/TPBG/ZDHHC2/PTPN13/PLXNB1/IRX3/NPTN/GJA1/F11R/RAMP2/CTNND1/CRB3/TRIP6/CLDN4/PLXNB2/AGRN/SLK/DLG5/CLSTN3/PKP4/CD9/SEMA4A/GRHL2/SFRP1/DST/CTTN/TJP1/IKBKB/PECAM1/RHOC/EEF2K",53
"GO:0002064","GO:0002064","epithelial cell development","34/842","214/18870",1.0826481889824e-10,5.04809323753702e-08,3.87266883293417e-08,"EPHA2/CLDN1/TJP2/MET/SFN/KLF5/GPX1/COL27A1/EXPH5/YAP1/CLDN5/RARG/FRMD6/SOX9/PTPRS/STC1/NOTCH2/IL6ST/F11R/FLNB/CCDC88C/HEG1/B4GALT1/EPAS1/PODXL/ICAM1/CDK6/GRHL2/SDC1/SIPA1L3/SPINT2/TJP1/IKBKB/PECAM1",34
"GO:0045216","GO:0045216","cell-cell junction organization","34/842","214/18870",1.0826481889824e-10,5.04809323753702e-08,3.87266883293417e-08,"EPHA2/CDH3/CLDN1/TJP2/PARD6B/CLDN5/MARVELD3/CDH1/SMAD3/OCLN/SNAI2/CXADR/DSG2/IRX3/GJA1/TGFB2/F11R/RAMP2/PERP/ADAM10/CTNND1/GRHL1/CLDN4/HEG1/DLG5/PKP4/CD9/GRHL2/EFNB2/PRKCI/TJP1/IKBKB/PECAM1/RHOC",34
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","47/842","407/18870",2.43230240268874e-09,1.03960658528255e-06,7.97539156250044e-07,"FGFR2/CDH3/CLDN1/CEACAM1/TACSTD2/SFN/EGFR/GATA3/PTPRK/GPX1/MCC/ERBB2/IRF6/YAP1/IFT172/MARVELD3/SOX9/CCND1/DAB2IP/SMAD3/SNAI2/CAV2/NFIB/FLT1/ROBO1/ZFP36L1/NOTCH2/TCF7L2/CCL2/RUNX2/TGFB2/TGFBR3/RGCC/B4GALT1/RREB1/CDK6/SFRP1/LAMA5/F3/EFNB2/HES1/CDKN1C/BMPR1A/MYC/POLD4/AGGF1/SP1",47
"GO:0031589","GO:0031589","cell-substrate adhesion","43/842","356/18870",3.02246018858046e-09,1.19247679286378e-06,9.14814265984919e-07,"OLFM4/MUC4/ITGB6/NTN4/EFNA5/ITGA2/ITGB8/TACSTD2/ITGB4/FERMT1/CX3CL1/PTPRK/ITGA6/AGR2/SDC4/STON1/ST6GAL1/RIN2/DOCK5/LIMCH1/SMAD3/PLAU/CD34/LYPD3/ADAM9/GBP1/KANK1/PXN/DDR1/VWF/EFNA1/TRIP6/ITGA3/SLK/RREB1/TRIOBP/CDK6/GAS6/DOCK1/SFRP1/LAMA5/PIK3CB/CTTN",43
"GO:0007162","GO:0007162","negative regulation of cell adhesion","39/842","312/18870",6.30019000291369e-09,2.30811960892459e-06,1.77068497976627e-06,"SCGB1A1/EFNA5/CEACAM1/MUC1/TACSTD2/ASS1/CX3CL1/ERBB3/BMP2/ERBB2/RND1/SDC4/TNFRSF21/CDH1/SNAI2/PLA2G2A/KLF4/PLXNB1/GBP1/KANK1/ADAM10/LGALS3/RGCC/ASCL2/PLXNB2/DLG5/PRKCD/PPARA/PODXL/CD9/SWAP70/ZC3H12A/SOCS6/CD74/HLA-DRB1/SPINT2/IRF1/TNFRSF14/TWSG1",39
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","52/842","493/18870",8.03458030059404e-09,2.7219904624476e-06,2.08818798137097e-06,"SCGB1A1/EFNA5/CEACAM1/ASS1/CX3CL1/GATA3/SELE/BMP2/ERBB2/SDC4/TNFRSF21/SHB/CDH1/MAGI1/PLA2G2A/ZDHHC2/TGFBR2/KLF4/IL6ST/CCL2/F11R/ANK3/LGALS3/PLPP3/PYCARD/RGCC/ASCL2/CD47/EFNB1/DLG5/PRKCD/PIEZO1/PPARA/PODXL/CD9/SWAP70/ZC3H12A/SOCS6/CD74/BMI1/BCL10/HLA-DRA/EFNB2/HES1/HLA-DMA/HLA-DRB1/SPINT2/TJP1/YES1/IRF1/TNFRSF14/TWSG1",52
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","19/842","88/18870",8.70764008215096e-09,2.7219904624476e-06,2.08818798137097e-06,"ITGB6/EPHA2/ITGA2/ITGB8/MUC1/ITGB4/FERMT1/ITGA6/SNAI2/PLAU/ADAM9/TGFB2/PLPP3/EFNA1/ITGA3/PIEZO1/PODXL/ICAM1/SWAP70",19
