"Gene","Comparison","Group","Pearson_r","P_value","Sample_size"
"MAPK1","MAPK1 vs SERPINB1","Cancer",-0.035,0.436834788255544,497
"MAPK1","MAPK1 vs SERPINB1","Normal",-0.085,0.547553302796874,52
"MAPK3","MAPK3 vs SERPINB1","Cancer",0.388,2.74468947604052e-19,497
"MAPK3","MAPK3 vs SERPINB1","Normal",0.361,0.00849567411400043,52
"MMP2","MMP2 vs SERPINB1","Cancer",0.621,2.49954056491957e-54,497
"MMP2","MMP2 vs SERPINB1","Normal",0.282,0.0429802203544502,52
"MMP9","MMP9 vs SERPINB1","Cancer",0.35,8.801429951177e-16,497
"MMP9","MMP9 vs SERPINB1","Normal",0.112,0.428137629954468,52
"SNAI1","SNAI1 vs SERPINB1","Cancer",0.616,3.39664801374449e-53,497
"SNAI1","SNAI1 vs SERPINB1","Normal",0.47,0.000440478842427352,52
"TWIST1","TWIST1 vs SERPINB1","Cancer",-0.163,0.000267686838151595,497
"TWIST1","TWIST1 vs SERPINB1","Normal",-0.118,0.40540835226122,52
