"Sample_title","Sample_geo_accession","Sample_source_name_ch1","GSM","bw_file","histone_mark","metastasis_site","sample_id","region","signal"
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Promoter",0.613372782095868
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Gene Body",0.521582034583819
"WCM0_2, H3K27ac, ChIP-seq","GSM8791988","LN","GSM8791988","./GSM8791988_WCM0_2_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_2","Downstream",0.229268647126249
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Promoter",0.626780353142665
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Gene Body",0.494227755129537
"WCM0_2, H3K27me3, ChIP-seq","GSM8791989","LN","GSM8791989","./GSM8791989_WCM0_2_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_2","Downstream",0.160244870644349
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Promoter",1.95554618702994
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Gene Body",1.81647488041642
"WCM0_3, H3K27ac, ChIP-seq","GSM8791990","LN","GSM8791990","./GSM8791990_WCM0_3_H3K27ac.bw","H3K27ac","Lymph Node","WCM0_3","Downstream",0.694618985207394
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Promoter",0.263332307195434
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Gene Body",0.220673901448538
"WCM0_3, H3K27me3, ChIP-seq","GSM8791991","LN","GSM8791991","./GSM8791991_WCM0_3_H3K27me3.bw","H3K27me3","Lymph Node","WCM0_3","Downstream",0.165800612799975
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Promoter",1.91688231649125
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Gene Body",1.79072873618492
"WCM0_4, H3K27ac, ChIP-seq","GSM8791992","Pelvic mass","GSM8791992","./GSM8791992_WCM0_4_H3K27ac.bw","H3K27ac","Pelvic","WCM0_4","Downstream",0.325188501551747
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Promoter",0.21580438879205
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Gene Body",0.189780142131469
"WCM0_4, H3K27me3, ChIP-seq","GSM8791993","Pelvic mass","GSM8791993","./GSM8791993_WCM0_4_H3K27me3.bw","H3K27me3","Pelvic","WCM0_4","Downstream",0.0727073667865051
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Promoter",6.91099549500839
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Gene Body",6.18733471146928
"WCM12_Z13, H3K27ac, ChIP-seq","GSM8791994","Brain","GSM8791994","./GSM8791994_WCM12_Z13_H3K27ac.bw","H3K27ac","Brain","WCM12_Z13","Downstream",1.82657361878912
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13","Promoter",0.431731057583409
"WCM12_Z13, H3K27me3, ChIP-seq","GSM8791995","Brain","GSM8791995","./GSM8791995_WCM12_Z13_H3K27me3.bw","H3K27me3","Brain","WCM12_Z13","Gene Body",0.383002898991108
