"CpG","sample_id","Beta_value"
"cg27056119","TCGA-2A-A8VL-01",0.4306
"cg27056119","TCGA-2A-A8VO-01",0.7703
"cg27056119","TCGA-2A-A8VT-01",0.4595
"cg27056119","TCGA-2A-A8VV-01",0.6884
"cg27056119","TCGA-2A-A8VX-01",0.874
"cg27056119","TCGA-2A-A8W1-01",0.8765
"cg27056119","TCGA-2A-A8W3-01",0.4806
"cg27056119","TCGA-2A-AAYF-01",0.7677
"cg27056119","TCGA-2A-AAYO-01",0.629
"cg27056119","TCGA-2A-AAYU-01",0.7286
"cg27056119","TCGA-4L-AA1F-01",0.2905
"cg27056119","TCGA-CH-5737-01",0.7444
"cg27056119","TCGA-CH-5738-01",0.4191
"cg27056119","TCGA-CH-5739-01",0.5573
"cg27056119","TCGA-CH-5740-01",0.5171
"cg27056119","TCGA-CH-5741-01",0.6501
"cg27056119","TCGA-CH-5743-01",0.027
"cg27056119","TCGA-CH-5744-01",0.4241
"cg27056119","TCGA-CH-5745-01",0.4746
"cg27056119","TCGA-CH-5746-01",0.2903
"cg27056119","TCGA-CH-5748-01",0.5624
"cg27056119","TCGA-CH-5750-01",0.6303
"cg27056119","TCGA-CH-5751-01",0.4458
"cg27056119","TCGA-CH-5752-01",0.65
"cg27056119","TCGA-CH-5753-01",0.6966
"cg27056119","TCGA-CH-5754-01",0.3537
"cg27056119","TCGA-CH-5761-01",0.5764
"cg27056119","TCGA-CH-5762-01",0.3822
"cg27056119","TCGA-CH-5763-01",0.0964
"cg27056119","TCGA-CH-5764-01",0.4692
"cg27056119","TCGA-CH-5765-01",0.6334
"cg27056119","TCGA-CH-5766-01",0.4258
"cg27056119","TCGA-CH-5767-01",0.7342
"cg27056119","TCGA-CH-5768-01",0.6493
"cg27056119","TCGA-CH-5769-01",0.4306
"cg27056119","TCGA-CH-5771-01",0.2904
"cg27056119","TCGA-CH-5772-01",0.6382
"cg27056119","TCGA-CH-5788-01",0.7388
"cg27056119","TCGA-CH-5789-01",0.0984
"cg27056119","TCGA-CH-5790-01",0.6946
"cg27056119","TCGA-CH-5791-01",0.5898
"cg27056119","TCGA-CH-5792-01",0.4423
"cg27056119","TCGA-CH-5794-01",0.5567
"cg27056119","TCGA-EJ-5494-01",0.6273
"cg27056119","TCGA-EJ-5495-01",0.3793
"cg27056119","TCGA-EJ-5496-01",0.4632
"cg27056119","TCGA-EJ-5497-01",0.4297
"cg27056119","TCGA-EJ-5498-01",0.0763
"cg27056119","TCGA-EJ-5499-01",0.3408
"cg27056119","TCGA-EJ-5501-01",0.3611
