"CpG","sample_id","Beta_value","sample_type","group","chr","pos","UCSC_RefGene_Name","UCSC_RefGene_Group","Position","Gene_Region","Label.x","Label.y"
"cg27056119","TCGA-G9-6343-01",0.4856,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IA-01",0.7149,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E4-01",0.6838,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-AB20-01",0.5793,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-H9-7775-01",0.6413,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XJ-A9DX-01",0.6293,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E6-01",0.5884,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6339-01",0.5012,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5509-01",0.48,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5521-01",0.4889,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8SB-01",0.5879,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9OF-01",0.8052,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5754-01",0.3537,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7125-01",0.5743,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7797-01",0.3895,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A9WI-01",0.7779,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7314-01",0.4741,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XA-A8JR-01",0.474,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7781-01",0.2315,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-QU-A6IN-01",0.8001,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5751-01",0.4458,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8WL-01",0.5692,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A6AO-01",0.7262,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A7B3-01",0.6497,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAJT-01",0.5372,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-AB27-01",0.4039,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5788-01",0.7388,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8I5-01",0.6911,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8S9-01",0.9521,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5761-01",0.5764,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A7AZ-01",0.1426,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6366-01",0.5526,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7819-01",0.7296,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KC-A4BN-01",0.484,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IG-01",0.4451,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A8QW-01",0.2701,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7786-01",0.5474,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A83K-01",0.512,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8HK-01",0.2388,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5501-01",0.3611,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-8470-01",0.5198,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J9-A8CL-01",0.6377,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A7NF-01",0.6816,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5762-11",0.1106,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-XK-AAJA-01",0.6135,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7330-01",0.2802,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-AA1N-01",0.549,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5524-01",0.3314,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E8-01",0.7392,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
