"CpG_ID","CpG_Label","Position","Gene_Region","Tumor_Mean","Tumor_SD","Normal_Mean","Normal_SD","Mean_Difference","log2_FC","p_value","FDR","Significance","Methylation_Status","Mean_Overall","SD_Overall"
"cg25003777","cg25003777","chr6:2841626","5'UTR",0.442980321285141,0.169905077014991,0.137604,0.112886052282822,0.305376321285141,1.61771655868498,1.44117418624812e-27,1.44117418624812e-26,"*** (FDR<0.001)","Strongly Hypermethylated",0.415117518248175,0.187395245749402
"cg07635623","cg07635623","chr6:2841875","5'UTR",0.504389357429719,0.176898500599283,0.120022,0.146038299826883,0.384367357429719,1.98410504303351,5.43161998276289e-26,2.71580999138144e-25,"*** (FDR<0.001)","Strongly Hypermethylated",0.469319343065693,0.206434949406135
"cg15199326","cg15199326","chr6:2842005","5'UTR",0.539123995983936,0.166348019746366,0.243328,0.144184490716808,0.295795995983936,1.11612541151457,1.997269750843e-20,6.65756583614333e-20,"*** (FDR<0.001)","Strongly Hypermethylated",0.512135310218978,0.185128505935136
"cg27056119","cg27056119","chr6:2842239","Promoter",0.491249698795181,0.201426347196635,0.183188,0.167364737514404,0.308061698795181,1.37552398163815,2.61414075356793e-18,5.91044690726094e-18,"*** (FDR<0.001)","Strongly Hypermethylated",0.463141879562044,0.217385407209352
"cg14652638","cg14652638","chr6:2842215","Promoter",0.528936847389558,0.168133510630937,0.227328,0.162956859246582,0.301608847389558,1.18323390790907,2.95522345363047e-18,5.91044690726094e-18,"*** (FDR<0.001)","Strongly Hypermethylated",0.501417791970803,0.188732999350743
"cg06148264","cg06148264","chr6:2841468","5'UTR",0.581714959839357,0.135332481375276,0.358,0.126664978327452,0.223714959839357,0.685196603730812,2.06504199539525e-17,3.44173665899209e-17,"*** (FDR<0.001)","Strongly Hypermethylated",0.561303010948905,0.149115298889641
"cg08542865","cg08542865","chr6:2842248","Promoter",0.615835140562249,0.190243671980045,0.275838,0.194406107540323,0.339997140562249,1.13058494341649,3.66049559600868e-17,5.22927942286955e-17,"*** (FDR<0.001)","Strongly Hypermethylated",0.584813503649635,0.214178340598405
"cg00031256","cg00031256","chr6:2842255","Promoter",0.531301004016064,0.163106413675516,0.250536,0.171466020623829,0.280765004016064,1.05494833090365,5.57809916870468e-16,6.97262396088085e-16,"*** (FDR<0.001)","Strongly Hypermethylated",0.505683759124088,0.182630070752503
"cg11393995","cg11393995","chr6:2842359","Promoter",0.620507931726908,0.173669618560081,0.375212,0.156265961979791,0.245295931726908,0.710861873375331,2.55111481085927e-15,2.83457201206586e-15,"*** (FDR<0.001)","Strongly Hypermethylated",0.598126916058394,0.185983351216162
"cg12586150","cg12586150","chr6:2840792","Gene Body",0.845240060240964,0.0810898229304624,0.77973,0.0785910942921704,0.0655100602409638,0.114969935797965,5.61499941291554e-07,5.61499941291554e-07,"*** (FDR<0.001)","No change",0.839262864963504,0.0829715985944144
