"CpG","Position","Gene_Region","CpG_label","Tumor_Mean","Normal_Mean","Tumor_SD","Normal_SD","Mean_Difference","p_value","n_Tumor","n_Normal","p_adjust","Significance"
"cg25003777","chr6:2841626","5'UTR","cg25003777",0.442980321285141,0.137604,0.169905077014991,0.112886052282822,0.305376321285141,1.44117418624812e-27,498,50,1.44117418624812e-26,"***"
"cg07635623","chr6:2841875","5'UTR","cg07635623",0.504389357429719,0.120022,0.176898500599283,0.146038299826883,0.384367357429719,5.43161998276289e-26,498,50,2.71580999138144e-25,"***"
"cg15199326","chr6:2842005","5'UTR","cg15199326",0.539123995983936,0.243328,0.166348019746366,0.144184490716808,0.295795995983936,1.997269750843e-20,498,50,6.65756583614333e-20,"***"
"cg14652638","chr6:2842215","Promoter","cg14652638",0.528936847389558,0.227328,0.168133510630937,0.162956859246582,0.301608847389558,2.95522345363047e-18,498,50,5.91044690726094e-18,"***"
"cg27056119","chr6:2842239","Promoter","cg27056119",0.491249698795181,0.183188,0.201426347196635,0.167364737514404,0.308061698795181,2.61414075356793e-18,498,50,5.91044690726094e-18,"***"
"cg06148264","chr6:2841468","5'UTR","cg06148264",0.581714959839357,0.358,0.135332481375276,0.126664978327452,0.223714959839357,2.06504199539525e-17,498,50,3.44173665899209e-17,"***"
"cg08542865","chr6:2842248","Promoter","cg08542865",0.615835140562249,0.275838,0.190243671980045,0.194406107540323,0.339997140562249,3.66049559600868e-17,498,50,5.22927942286955e-17,"***"
"cg00031256","chr6:2842255","Promoter","cg00031256",0.531301004016064,0.250536,0.163106413675516,0.171466020623829,0.280765004016064,5.57809916870468e-16,498,50,6.97262396088085e-16,"***"
"cg11393995","chr6:2842359","Promoter","cg11393995",0.620507931726908,0.375212,0.173669618560081,0.156265961979791,0.245295931726908,2.55111481085927e-15,498,50,2.83457201206586e-15,"***"
"cg12586150","chr6:2840792","Gene Body","cg12586150",0.845240060240964,0.77973,0.0810898229304624,0.0785910942921704,0.0655100602409638,5.61499941291554e-07,498,50,5.61499941291554e-07,"***"
